Node.ID,sp.ID,stageID,Stage,Sp.stage,Name.Sp.stage,Presence.code,Type,Organismal.Group,Working.Group,WorkingName,Phylum,Class,Order,Family,Genus,Specific.epithet,Sp.name,Resolution,Habitat_Site,Consumer.Strategy,Consumer.Type,Mobility,Life.Cycle,Confidence.in.Node,Justification.Code,thermal.province,Localities,Ref.ID,Northern.Eastern.Pacific.Range.Limit,Southern.Eastern.PacificRange.Limit,Additional.Localities,Synonomy,Fishbase.OR.WoRMS.SearchTerms,biosis.diet.search.terms,NHM.Search.Terms,Google.Scholar.PS.Search.Terms,biosis.SearchTerms,BIOSIS.PS.records,NHM.records,FishPest,Biosis.host.only.terms,Biosis.host.only.records,NHM.host.count
26,26,1,Adult,26.1,Lithophaga.plumula.26.1,L,free.living,Bivalvia,boring clam,date clam,Mollusca,Bivalvia,Mytilida,Mytilidae,Lithophaga,plumula,Lithophaga.plumula,Genus,rock,Filter,Predator,Sessile,1,1,1,warm,"Mohawk Reef, Santa Barbara Channel, CA, USA",693,"Mendocino County, CA, USA",Peru ,,"Leiosolenus plumula (accepted), Lithodomus pessulatus, Lithodomus plumula, Lithodomus plumula gracilior, Lithodomus plumula tumidior, Lithodomus subula, Lithophaga (Diberus) plumula, Lithophaga cavernosa, Lithophaga l_bbeckeana, Lithophaga loebbeckeana, Lithophaga plumula, Lithophaga plumula kelseyi, Modiola plumula ",,(Lithophaga SAME plumula); (Leiosolenus SAME plumula),"Leiosolenus plumula, Lithophaga plumula","""Lithophaga plumula"" SAME parasit*, ""Leiosolenus plumula"" SAME parasit*","Leiosolenus SAME plumula, (Lithophaga SAME plumula, Lithophaga SAME plumula SAME parasit*",1,0,NA,"Leiosolenus SAME plumula, (Lithophaga SAME plumula)",9,NA
27,27,1,Adult,27.1,Parapholas.californica.27.1,L,free.living,Bivalvia,boring clam,boring clam,Mollusca,Bivalvia,Myida,Pholadidae,Parapholas,californica,Parapholas.californica,Species,rock,Filter,Predator,Sessile,1,1,1; 2,both,"Santa Barbara Channel, CA, USA",153,"Point Conception, CA, USA","Baja California, Mexico",,"Pholas californica, Pholas janellii",Parapholas californica,(Parapholas SAME californica),"Parapholas californica, Parapholas, Pholas","""Parapholas californica"" SAME parasit*, ""pholas californica"" SAME parasit*, ""pholas janellii"" SAME parasit*","(Parapholas SAME californica SAME parasit*), (pholas SAME californica SAME parasit*), (pholas SAME janellii SAME parasit*)",0,0,NA,"(Parapholas SAME californica), (pholas SAME californica), (pholas SAME janellii)",2,NA
28,28,1,Adult,28.1,Ameritella.modesta.28.1,L,free.living,Bivalvia,clams and mussels,small bivalve- Tellina,Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,modesta,Ameritella.modesta,Species,sand,Filter,Predator,Mobile,1,2,3,both,"CA, USA",167; 1073,"Vancouver Island, Canada","Southern California, CA, USA",,"Angulus modestus, Angulus modestus obtusus, Tellina obtusa, Tellina (Oudardia) buttoni, Tellina (Angulus) modesta, Tellina (Oudardia) buttoni, Tellina buttoni, Tellina modesta",,,"Ameritella, Tellina, Angulus","""Tellina modesta"" SAME parasit*, ""Ameritella modesta"" SAME parasit*, ""Ameritella"" SAME parasit*, ""Angulus"" SAME parasit*, Tellina SAME parasit*","Ameritella SAME parasit*, (Angulus SAME parasit*) , (Tellina SAME parasit*)",16,3,NA,,,NA
29,29,1,Adult,29.1,Anomia.peruviana.29.1,L,free.living,Bivalvia,clams and mussels,Peruvian Jingle Shell,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,peruviana,Anomia.peruviana,Species,rock,Filter,Predator,Sessile,1,1,3,warm,"Channel Islands, CA, USA",406; 407; 887,"Point Conception, CA, USA","Baja California, Mexico",,"Anomia adamas, Anomia alectus, Anomia fidenas, Anomia hamillus, Anomia lampe, Anomia laqueata, Anomia larbas, Anomia limatula, Anomia pacilus, Anomia simplex, Anomia subcostata, Anomia tenuis, Calyptraea aberrans, Placunomia claviculata",,,"Anomia, Calyptraea, Placunomia","Anomia SAME parasit*, Calyptraea SAME parasit*, Placunomia SAME parasit*","(Anomia SAME parasit*),  (Calyptraea SAME parasit*), Placunomia SAME parasit*",7,0,NA,Anomia,710,NA
30,30,1,Adult,30.1,Chaceia.ovoidea.30.1,L,free.living,Bivalvia,clams and mussels,Piddock clam,Mollusca,Bivalvia,Myida,Pholadidae,Chaceia,ovoidea,Chaceia.ovoidea,Species,rock,Filter,Predator,Sessile,1,1,1; 2,warm,"Santa Barbara Channel, CA, USA",881,"Point Conception, CA, USA","Baja California, Mexico",,Pholas ovoidea,Chaceia ovoidea,,"Chaceia ovoidea, Pholas ovoidea, Chaceia","""Chaceia ovoidea"" SAME parasit*, ""Pholas ovoidea"" SAME parasit*","(Chaceia SAME ovoidea SAME parasit*), (pholas SAME ovoidea SAME parasit*)",0,0,NA,"(Chaceia SAME ovoidea), (pholas SAME ovoidea)",3,NA
31,31,1,Adult,31.1,Chama.arcana.31.1,L,free.living,Bivalvia,clams and mussels,small bivalve,Mollusca,Bivalvia,Venerida,Chamidae,Chama,arcana,Chama.arcana,Species,rock,Detritivore,Predator,Sessile,1,1,3,both,"CA, USA",693; 406; 407,"OR, USA","Bahia San Juanico, Baja California, Mexico",,none,,,Chama,Chama arcana SAME parasit*,Chama SAME arcana SAME parasit*,0,0,NA,(Chama SAME arcana),7,NA
32,32,1,Adult,32.1,Crassadoma.gigantea.32.1,L,free.living,Bivalvia,clams and mussels,rock scallop,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,gigantea,Crassadoma.gigantea,Species,rock,Filter,Predator,Sessile,4,1,1; 2; 3,both,North Pacific,153; 882,"Queen Charlotte Islands, British Columbia, Canada","Punta Abreojos, Baja California, Mexico",,"Crassedoma giganteum, Hinnita poulsoni, Hinnites crassa, Hinnites giganteus, Lima gigantea, Pecten multirugosus",Crassadoma gigantea,,"Crassadoma, Crassadoma gigantea, Hinnita poulsoni, Hinnites crassa, Hinnites giganteus, Lima gigantea, Pecten multirugosus","Hinnites SAME parasit*, Crassedoma SAME parasit*, Crassadoma SAME parasit*, ""Lima gigantea"" SAME parasit*,  ""Pecten multirugosus"" SAME parasit*","(Crassadoma SAME gigantea SAME parasit*), (Hinnita SAME poulsoni SAME parasit*), (Hinnites  SAME crassa SAME parasit*), (Crassedoma SAME giganteum SAME parasit*), (Hinnites SAME giganteus SAME parasit*), (Lima SAME gigantea SAME parasit*), (Pecten SAME multirugosus SAME parasit*)",1,0,NA,"(Crassadoma SAME gigantea), (Crassedoma SAME giganteum), (Hinnita SAME poulsoni), (Hinnites SAME crassa), (Hinnites SAME giganteus), (Lima SAME gigantea), (Pecten SAME multirugosus)",56,NA
33,32,4,Juvenile,32.4,Crassadoma.gigantea.32.4,L,free.living,Bivalvia,clams and mussels,rock scallop,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,gigantea,Crassadoma.gigantea,Species,rock,Filter,Predator,Sessile,4,1,3,both,North Pacific,406; 407,"Queen Charlotte Islands, British Columbia, Canada","Punta Abreojos, Baja California, Mexico",,"Crassedoma giganteum, Hinnita poulsoni, Hinnites crassa, Hinnites giganteus, Lima gigantea, Pecten multirugosus",Crassadoma gigantea,,"Crassadoma gigantea, Hinnita poulsoni, Hinnites crassa, Hinnites giganteus, Lima gigantea, Pecten multirugosus",,"(Crassadoma SAME gigantea SAME parasit*), (Hinnita SAME poulsoni SAME parasit*), (Hinnites  SAME crassa SAME parasit*), (Crassedoma SAME giganteum SAME parasit*), (Hinnites SAME giganteus SAME parasit*), (Lima SAME gigantea SAME parasit*), (Pecten SAME multirugosus SAME parasit*)",1,,NA,"(Crassadoma SAME gigantea), (Crassedoma SAME giganteum), (Hinnita SAME poulsoni), (Hinnites SAME crassa), (Hinnites SAME giganteus), (Lima SAME gigantea), (Pecten SAME multirugosus)",56,NA
34,33,1,Adult,33.1,Crenella.decussata.33.1,L,free.living,Bivalvia,clams and mussels,small bivalve,Mollusca,Bivalvia,Mytilida,Mytilidae,Crenella,decussata,Crenella.decussata,Species,sand,Filter,Predator,Sessile,1,1,3,both,North Pacific,406; 407,"AK, USA",Peru ,"western Atlantic (North Carolina to Caribbean), and northwestern Pacific (Japan and Kamchatka)","Crenella (misspelling?), Crenella decussata laticostata, Crenella delicatula, Crenella divaricata,  Crenella divaricata, Crenella ecuadoriana, Crenella elliptica,  Crenella inflata, Crenella yokoyamai, Modiola cicercula, Mytilus decussatus",,,"Crenella, Modiola, Mytilus decussatus","""crenella decussata"" SAME parasit*, ","(Crenella SAME parasit*), (Modiola SAME parasit*)",15,0,NA,,,NA
35,34,1,Adult,34.1,Diplodonta.orbella.34.1,L,free.living,Bivalvia,clams and mussels,round diplodonta clam,Mollusca,Bivalvia,Venerida,Ungulinidae,Diplodonta,orbella,Diplodonta.orbella,species,rock,Filter,Predator,Sessile,1,1,3,both,"Channel Islands, CA, USA",17; 693,"Pribilof Islands, AK, USA","Southern Baja California, Baja California, Mexico",,"Diplodonta discrepans, Diplodonta semiaspersa discrepans, Lucina orbella, Phlyctiderma discrepans, Sphaerella tumida",,,"Diplodonta, Lucina, Phlyctiderma, Sphaerella","diplodonta SAME parasit*, ""Lucina orbella"" SAME parasit*, "" Phlyctiderma discrepans"" SAME parasit*, ""Sphaerella tumida"" SAME parasit*","Sphaerella SAME tumida SAME parasit*, Diplodonta SAME orbella SAME parasit*,  (Phlyctiderma SAME parasit*), Diplodonta SAME parasit*, (Lucina SAME parasit*)",12,0,NA,diplodonta,69,NA
